Registry,Assignment,Organization Name,Organization Address
OpID,000088,Haiti Networking Group S.A.,74 Rue Panamericaine Petion-Ville  HT  
OpID,000081,Datame Oy,Viinikankatu 47 Tampere  FI 33800 
OpID,00007A,Intercom S.R.L.,Via Pianta 8 Vaprio d'Agogna No  IT 28010 
OpID,000067,Callplus Services Limited,P O Box 108-109 Symonds Street Auckland  NZ  
OpID,00006E,Azqtel Ltd,19 Safaraliyea Street Baku  AZ AZ1010 
OpID,000098,Reinan Cable Network Co. Ltd.,"40-8-1 Kizaki, Tsuruga Fukui  JP 914-0814 "
OpID,00008C,Swift Networks LTD ,31B Saka Tinubu Street Victoria Island Lagos NG  
OpID,000013,Menatelecom,9th Floor NBB Tower Government Avenue Manama  BH  
OpID,000011,MIRS Communications Ltd,123 Yigal Alon Street Tel-Aviv  IL 67443 
OpID,000012,Packet One Networks (M) Sdn Bhd,"Lot 1-1, Incubator 2, Bukit Jalil  Kuala Lumpur MY 57000 "
OpID,00000F,Wi-Tribe Limited,P O Box 3614 Amman  JO 11953 
OpID,000010,Axtel S.A.B. de C.V.,Blvd. Diaz Ordaz Km. 3.33 1er Piso Nuevo Leon  MX 66215 
OpID,000002,Clearwire Corporation,1475 120th Ave NE Bellevue WA US 98005 
OpID,000006,Clearwire Corporation,1475 120th Ave NE Bellevue WA US 98005 
OpID,000104,"EarthLink, Inc.",1375 Peachtree St NE Atlanta GA US 30309 
OpID,0000AA,FreedomPop,18757 Burbank Blvd Tarzana CA US 91356 
OpID,0000A5,"NetZero Wireless, Inc.",21301 Burbank Blvd Woodland Hills CA US 91367 
OpID,0000A1,Government of Guyana,Shiv Chanderpaul Drive Georgetown  GY  
OpID,00009E,BroadBreeze LLC,3001 Orchard Vista Dr. SE  Grand Rapids MI US 49546 
OpID,000054,U-Konekt Technologies LTD,54-01 Upavon Road   SG 507739 
OpID,000052,Direct on PC Limited,Plot B. Block 1 Ilupeju Lagos NG  
OpID,000053,NTT Communications Corporation,"1-6, Uchisaiwai-cho, 1-chome Chiyoda-ku Tokyo JP  "
OpID,000050,Vee Telecom Multimedia Co. Ltd.,15.Sec. 4 Wen Sin Road Taichung  TW  
OpID,000051,Â 7netlayers,Ainkawa Main Street Dream City Erbil Kurdistan IQ  
OpID,000049,Clearwire Espana,CL Doctor Zamenhoff 22 Madrid  ES 2828027 
OpID,00004A,UMD Maxwell Lab,3133 A.V. Williams Bldg College Park MD US 20742 
OpID,000046,"AugereWireless Broadband Bangladesh, LTD",Mostofa Center Dhaka  BD 1213 
OpID,000047,Craig Wireless,71 713 Highway 11 Rancho Mirage CA US 92270 
OpID,000048,Main Street Broadband,"3505 Koger Blvd, Suite 400 Duluth GA US 30096 "
